G   Best    Average    STD
1 0.149225 0.101809 0.0368137
2 0.156405 0.133835 0.0215997
3 0.156405 0.141559 0.00949978
4 0.176053 0.150804 0.0148494
5 0.176053 0.15346 0.0128362
6 0.258578 0.198074 0.0442297
7 0.258578 0.229731 0.0244301
8 0.258578 0.232533 0.0207577
9 0.258578 0.233385 0.0197719
10 0.258578 0.233385 0.0197719
11 0.258578 0.233385 0.0197719
12 0.258578 0.233385 0.0197719
13 0.258578 0.234031 0.0189863
14 0.258578 0.240653 0.0154698
15 0.258578 0.24706 0.0057708
16 0.258578 0.24706 0.0057708
17 0.258578 0.24706 0.0057708
18 0.258578 0.24706 0.0057708
19 0.258578 0.24706 0.0057708
20 0.258578 0.24706 0.0057708
21 0.258578 0.24706 0.0057708
22 0.258578 0.24706 0.0057708
23 0.258578 0.248731 0.005793
24 0.258578 0.248731 0.005793
25 0.258578 0.248849 0.00569656
26 0.258578 0.248849 0.00569656
27 0.258578 0.250515 0.00535499
28 0.258578 0.250515 0.00535499
29 0.258578 0.252181 0.00439865
30 0.258578 0.252181 0.00439865
31 0.258578 0.252181 0.00439865
32 0.258578 0.253661 0.00247133
33 0.258578 0.253661 0.00247133
34 0.258578 0.253661 0.00247133
35 0.260744 0.25538 0.00356787
36 0.308896 0.266729 0.0213218
37 0.308896 0.266729 0.0213218
38 0.308896 0.266729 0.0213218
39 0.308896 0.266729 0.0213218
40 0.308896 0.269902 0.0201483
41 0.308896 0.269902 0.0201483
42 0.308896 0.269902 0.0201483
43 0.308896 0.269902 0.0201483
44 0.308896 0.271508 0.0190017
45 0.308896 0.271508 0.0190017
46 0.308896 0.271941 0.0187246
47 0.308896 0.271941 0.0187246
48 0.308896 0.271941 0.0187246
49 0.308896 0.273508 0.0180373
50 0.308896 0.273508 0.0180373
51 0.308896 0.273508 0.0180373
52 0.308896 0.273508 0.0180373
53 0.309271 0.284641 0.0199588
54 0.309271 0.284641 0.0199588
55 0.309271 0.284935 0.0197191
56 0.309271 0.28738 0.0182421
57 0.309271 0.287901 0.0177275
58 0.309271 0.287901 0.0177275
59 0.309271 0.287901 0.0177275
60 0.309271 0.297808 0.0138869
61 0.309271 0.297808 0.0138869
62 0.477061 0.342754 0.0671537
63 0.477061 0.342754 0.0671537
64 0.477061 0.342754 0.0671537
65 0.477061 0.342754 0.0671537
66 0.477061 0.342754 0.0671537
67 0.477061 0.342754 0.0671537
68 0.477061 0.342754 0.0671537
69 0.477061 0.342754 0.0671537
70 0.477061 0.342754 0.0671537
71 0.477061 0.342754 0.0671537
72 0.477061 0.342754 0.0671537
73 0.477061 0.342754 0.0671537
74 0.477061 0.361297 0.0680389
75 0.477061 0.372898 0.0629326
76 0.477061 0.372898 0.0629326
77 2.05788 0.722619 0.669833
78 2.05788 1.07234 0.80547
79 2.05788 1.19347 0.732574
80 2.08972 1.63069 0.536315
81 2.08972 1.63069 0.536315
82 2.19262 1.87463 0.452492
83 2.19262 1.87463 0.452492
84 2.19262 2.11814 0.0619133
85 2.19262 2.11814 0.0619133
86 2.19262 2.11814 0.0619133
87 2.26559 2.16605 0.0677846
88 2.26559 2.17399 0.0602942
89 2.26559 2.17399 0.0602942
90 2.29066 2.21418 0.057643
91 2.29066 2.21418 0.057643
92 2.29066 2.21418 0.057643
93 2.29066 2.21418 0.057643
94 2.29066 2.21418 0.057643
95 2.62256 2.33242 0.149452
96 2.62256 2.39639 0.144283
97 2.62256 2.39639 0.144283
98 2.62256 2.39639 0.144283
99 2.62256 2.46778 0.150101
100 2.62256 2.46778 0.150101
